5 3.20712 20
1 0.74784 9
2 1.69039 15
3 0.320752 6
4 2.73061 17
5 5.76272 31
1 2.43176 16
2 0.295325 8
3 3.48818 20
4 1.58881 18
5 0.389367 10
1 0.592408 8
2 0.164932 6
3 9.30614 31
4 0.198577 7
5 0.31686 9
1 0.926364 10
2 1.01084 12
3 0.0158519 1
4 0.929693 10
5 3.21331 20
1 1.57969 13
2 2.18372 21
3 0.261032 8
4 1.93059 20
5 0.191257 7
1 1.35766 12
2 0.747112 13
4 1.4949 18
5 0.942554 10
1 3.81922 20
2 4.48237 24
3 2.57417 22
4 1.71719 19
5 0.0158408 1
1 0.935621 10
2 1.57449 13
3 0.201596 4
4 0.334992 6
5 0.0183956 1
1 2.72617 17
2 0.32785 6
3 0.692577 13
5 0.101715 4
1 0.589585 8
2 0.447136 7
3 2.12846 15
5 0.488453 11
1 0.751842 9
2 0.31843 6
3 0.730154 9
4 1.64182 14
5 0.973336 15
1 3.35082 19
3 0.39475 10
4 0.19777 7
5 0.328926 9
1 2.74812 17
2 0.200513 7
3 0.484585 11
4 2.77225 20
5 0.1952 7
1 0.586662 8
2 1.23048 13
3 1.33571 12
4 2.87837 19
5 1.97543 16
1 0.435041 7
2 4.6735 22
3 1.43349 17
4 1.50756 18
5 2.53867 18
1 0.327087 6
2 0.442779 7
3 2.06842 15
4 1.28919 14
5 0.252254 8
1 1.57514 13
2 0.150582 6
3 1.20653 13
4 1.5002 17
5 0.219536 7
1 0.145792 4
2 0.45867 7
3 0.155337 5
4 0.321385 6
5 0.329409 6
1 0.737623 9
2 0.799975 12
3 0.748289 9
4 1.5952 13
5 1.80517 17
1 0.0867085 3
2 1.35928 12
3 0.147906 4
4 0.913115 10
5 0.971284 15
1 0.0880451 3
2 1.85027 14
3 0.815838 14
4 0.160017 6
5 1.36487 16
1 0.918582 10
2 2.63033 22
3 0.808343 14
4 0.0705949 3
5 1.11061 16
1 2.41488 16
2 0.72859 9
3 0.397558 10
4 2.22618 18
5 0.10574 4
1 0.440795 7
2 1.13843 11
3 1.22634 13
4 0.205744 7
